Date,Close
"Nov 11, 2022",18349.70
"Nov 10, 2022",18028.20
"Nov 09, 2022",18157.00
"Nov 07, 2022",18202.80
"Nov 04, 2022",18117.15
"Nov 03, 2022",18052.70
"Nov 02, 2022",18082.85
"Nov 01, 2022",18145.40
"Oct 31, 2022",18012.20
"Oct 28, 2022",17786.80
"Oct 27, 2022",17736.95
"Oct 25, 2022",17656.35
"Oct 24, 2022",17730.75
"Oct 21, 2022",17576.30
"Oct 20, 2022",17563.95
"Oct 19, 2022",17512.25
"Oct 18, 2022",17486.95
"Oct 17, 2022",17311.80
"Oct 14, 2022",17185.70
"Oct 13, 2022",17014.35
"Oct 12, 2022",17123.60
"Oct 11, 2022",16983.55
"Oct 10, 2022",17241.00
"Oct 07, 2022",17314.65
"Oct 06, 2022",17331.80
"Oct 04, 2022",17274.30
"Oct 03, 2022",16887.35
"Sep 30, 2022",17094.35
"Sep 29, 2022",16818.10
"Sep 28, 2022",16858.60
"Sep 27, 2022",17007.40
"Sep 26, 2022",17016.30
"Sep 23, 2022",17327.35
"Sep 22, 2022",17629.80
"Sep 21, 2022",17718.35
"Sep 20, 2022",17816.25
"Sep 19, 2022",17622.25
"Sep 16, 2022",17530.85
"Sep 15, 2022",17877.40
"Sep 14, 2022",18003.75
"Sep 13, 2022",18070.05
"Sep 12, 2022",17936.35
"Sep 09, 2022",17833.35
"Sep 08, 2022",17798.75
"Sep 07, 2022",17624.40
"Sep 06, 2022",17655.60
"Sep 05, 2022",17665.80
"Sep 02, 2022",17539.45
"Sep 01, 2022",17542.80
"Aug 30, 2022",17759.30
"Aug 29, 2022",17312.90
"Aug 26, 2022",17558.90
"Aug 25, 2022",17522.45
"Aug 24, 2022",17604.95
"Aug 23, 2022",17577.50
"Aug 22, 2022",17490.70
"Aug 19, 2022",17758.45
"Aug 18, 2022",17956.50
"Aug 17, 2022",17944.25
"Aug 16, 2022",17825.25
"Aug 12, 2022",17698.15
"Aug 11, 2022",17659.00
"Aug 10, 2022",17534.75
"Aug 08, 2022",17525.10
"Aug 05, 2022",17397.50
"Aug 04, 2022",17382.00
"Aug 03, 2022",17388.15
"Aug 02, 2022",17345.45
"Aug 01, 2022",17340.05
"Jul 29, 2022",17158.25
"Jul 28, 2022",16929.60
"Jul 27, 2022",16641.80
"Jul 26, 2022",16483.85
"Jul 25, 2022",16631.00
"Jul 22, 2022",16719.45
"Jul 21, 2022",16605.25
"Jul 20, 2022",16520.85
"Jul 19, 2022",16340.55
"Jul 18, 2022",16278.50
"Jul 15, 2022",16049.20
"Jul 14, 2022",15938.65
"Jul 13, 2022",15966.65
"Jul 12, 2022",16058.30
"Jul 11, 2022",16216.00
"Jul 08, 2022",16220.60
"Jul 07, 2022",16132.90
"Jul 06, 2022",15989.80
"Jul 05, 2022",15810.85
"Jul 04, 2022",15835.35
"Jul 01, 2022",15752.05
"Jun 30, 2022",15780.25
"Jun 29, 2022",15799.10
"Jun 28, 2022",15850.20
"Jun 27, 2022",15832.05
"Jun 24, 2022",15699.25
"Jun 23, 2022",15556.65
"Jun 22, 2022",15413.30
"Jun 21, 2022",15638.80
"Jun 20, 2022",15350.15
"Jun 17, 2022",15293.50
"Jun 16, 2022",15360.60
"Jun 15, 2022",15692.15
"Jun 14, 2022",15732.10
"Jun 13, 2022",15774.40
"Jun 10, 2022",16201.80
"Jun 09, 2022",16478.10
"Jun 08, 2022",16356.25
"Jun 07, 2022",16416.35
"Jun 06, 2022",16569.55
"Jun 03, 2022",16584.30
"Jun 02, 2022",16628.00
"Jun 01, 2022",16522.75
"May 31, 2022",16584.55
"May 30, 2022",16661.40
"May 27, 2022",16352.45
"May 26, 2022",16170.15
"May 25, 2022",16025.80
"May 24, 2022",16125.15
"May 23, 2022",16214.70
"May 20, 2022",16266.15
"May 19, 2022",15809.40
"May 18, 2022",16240.30
"May 17, 2022",16259.30
"May 16, 2022",15842.30
"May 13, 2022",15782.15
"May 12, 2022",15808.00
"May 11, 2022",16167.10
"May 10, 2022",16240.05
"May 09, 2022",16301.85
"May 06, 2022",16411.25
"May 05, 2022",16682.65
"May 04, 2022",16677.60
"May 02, 2022",17069.10
"Apr 29, 2022",17102.55
"Apr 28, 2022",17245.05
"Apr 27, 2022",17038.40
"Apr 26, 2022",17200.80
"Apr 25, 2022",16953.95
"Apr 22, 2022",17171.95
"Apr 21, 2022",17392.60
"Apr 20, 2022",17136.55
"Apr 19, 2022",16958.65
"Apr 18, 2022",17173.65
"Apr 13, 2022",17475.65
"Apr 12, 2022",17530.30
"Apr 11, 2022",17674.95
"Apr 08, 2022",17784.35
"Apr 07, 2022",17639.55
"Apr 06, 2022",17807.65
"Apr 05, 2022",17957.40
"Apr 04, 2022",18053.40
"Apr 01, 2022",17670.45
"Mar 31, 2022",17464.75
"Mar 30, 2022",17498.25
"Mar 29, 2022",17325.30
"Mar 28, 2022",17222.00
"Mar 25, 2022",17153.00
"Mar 24, 2022",17222.75
"Mar 23, 2022",17245.65
"Mar 22, 2022",17315.50
"Mar 21, 2022",17117.60
"Mar 17, 2022",17287.05
"Mar 16, 2022",16975.35
"Mar 15, 2022",16663.00
"Mar 14, 2022",16871.30
"Mar 11, 2022",16630.45
"Mar 10, 2022",16594.90
"Mar 09, 2022",16345.35
"Mar 08, 2022",16013.45
"Mar 07, 2022",15863.15
"Mar 04, 2022",16245.35
"Mar 03, 2022",16498.05
"Mar 02, 2022",16605.95
"Feb 28, 2022",16793.90
"Feb 25, 2022",16658.40
"Feb 24, 2022",16247.95
"Feb 23, 2022",17063.25
"Feb 22, 2022",17092.20
"Feb 21, 2022",17206.65
"Feb 18, 2022",17276.30
"Feb 17, 2022",17304.60
"Feb 16, 2022",17322.20
"Feb 15, 2022",17352.45
"Feb 14, 2022",16842.80
"Feb 11, 2022",17374.75
"Feb 10, 2022",17605.85
"Feb 09, 2022",17463.80
"Feb 08, 2022",17266.75
"Feb 07, 2022",17213.60
"Feb 04, 2022",17516.30
"Feb 03, 2022",17560.20
"Feb 02, 2022",17780.00
"Feb 01, 2022",17576.85
"Jan 31, 2022",17339.85
"Jan 28, 2022",17101.95
"Jan 27, 2022",17110.15
"Jan 25, 2022",17277.95
"Jan 24, 2022",17149.10
"Jan 21, 2022",17617.15
"Jan 20, 2022",17757.00
"Jan 19, 2022",17938.40
"Jan 18, 2022",18113.05
"Jan 17, 2022",18308.10
"Jan 14, 2022",18255.75
"Jan 13, 2022",18257.80
"Jan 12, 2022",18212.35
"Jan 11, 2022",18055.75
"Jan 10, 2022",18003.30
"Jan 07, 2022",17812.70
"Jan 06, 2022",17745.90
"Jan 05, 2022",17925.25
"Jan 04, 2022",17805.25
"Jan 03, 2022",17625.70
"Dec 31, 2021",17354.05
"Dec 30, 2021",17203.95
"Dec 29, 2021",17213.60
"Dec 28, 2021",17233.25
"Dec 27, 2021",17086.25
"Dec 24, 2021",17003.75
"Dec 23, 2021",17072.60
"Dec 22, 2021",16955.45
"Dec 21, 2021",16770.85
"Dec 20, 2021",16614.20
"Dec 17, 2021",16985.20
"Dec 16, 2021",17248.40
"Dec 15, 2021",17221.40
"Dec 14, 2021",17324.90
"Dec 13, 2021",17368.25
"Dec 10, 2021",17511.30
"Dec 09, 2021",17516.85
"Dec 08, 2021",17469.75
"Dec 07, 2021",17176.70
"Dec 06, 2021",16912.25
"Dec 03, 2021",17196.70
"Dec 02, 2021",17401.65
"Dec 01, 2021",17166.90
"Nov 30, 2021",16983.20
"Nov 29, 2021",17053.95
"Nov 26, 2021",17026.45
"Nov 25, 2021",17536.25
"Nov 24, 2021",17415.05
"Nov 23, 2021",17503.35
"Nov 22, 2021",17416.55
"Nov 18, 2021",17764.80
"Nov 17, 2021",17898.65
"Nov 16, 2021",17999.20
"Nov 15, 2021",18109.45
"Nov 12, 2021",18102.75
"Nov 11, 2021",17873.60
"Nov 10, 2021",18017.20
"Nov 09, 2021",18044.25
"Nov 08, 2021",18068.55
"Nov 04, 2021",17916.80
"Nov 03, 2021",17829.20
"Nov 02, 2021",17888.95
"Nov 01, 2021",17929.65
"Oct 29, 2021",17671.65
"Oct 28, 2021",17857.25
"Oct 27, 2021",18210.95
"Oct 26, 2021",18268.40
"Oct 25, 2021",18125.40
"Oct 22, 2021",18114.90
"Oct 21, 2021",18178.10
"Oct 20, 2021",18266.60
"Oct 19, 2021",18418.75
"Oct 18, 2021",18477.05
"Oct 14, 2021",18338.55
"Oct 13, 2021",18161.75
