Date,Open,High,Low,Close
23-Jan-23,8584.2,8591.75,8557.45,8577.45
20-Jan-23,8593.9,8602.3,8542.5,8548.8
19-Jan-23,8592.85,8608.8,8571.25,8588.8
18-Jan-23,8587.3,8622.25,8565.3,8614.65
17-Jan-23,8540.3,8583.85,8519.4,8575.7
16-Jan-23,8578.6,8591.55,8511.55,8527.05
13-Jan-23,8521.95,8562.7,8477.35,8549.5
12-Jan-23,8541.05,8550.7,8470.4,8512.35
11-Jan-23,8547.65,8565.95,8500.45,8524.95
10-Jan-23,8617.55,8618.95,8502.65,8537.5
09-Jan-23,8558.35,8619.25,8554.85,8606.25
06-Jan-23,8581.15,8590.95,8479.5,8508.65
05-Jan-23,8605.8,8614.6,8516.75,8572.45
04-Jan-23,8671.05,8677.45,8566.35,8575.95
03-Jan-23,8644.25,8677.3,8635.8,8667.55
02-Jan-23,8622.55,8654.95,8596.55,8647.85
30-Dec-22,8663.1,8678,8591.5,8604.4
29-Dec-22,8558.4,8639.75,8523.45,8622.1
28-Dec-22,8568.95,8612.55,8553.3,8592.85
27-Dec-22,8558.35,8592.15,8504.45,8583.75
26-Dec-22,8378.05,8543,8336.1,8514.5
23-Dec-22,8515.15,8541.8,8355,8370.05
22-Dec-22,8685.85,8706.8,8553.75,8588.35
21-Dec-22,8787.1,8808.9,8628.9,8645.75
20-Dec-22,8748.6,8768.4,8680.35,8760.65
19-Dec-22,8723.2,8780.9,8693.9,8776.15
16-Dec-22,8752.9,8802.2,8703.65,8710.15
15-Dec-22,8878.3,8895.3,8779,8792.65
14-Dec-22,8888.45,8905.65,8881.15,8892.1
13-Dec-22,8836.25,8863.65,8818.2,8858.45
12-Dec-22,8777.2,8820.7,8737.2,8815.95
09-Dec-22,8892,8893.75,8758.2,8805.75
08-Dec-22,8846.05,8866.2,8834.2,8861.85
07-Dec-22,8874.35,8885.75,8819.95,8834.45
06-Dec-22,8859.2,8877.5,8846.35,8868.75
05-Dec-22,8908.35,8911,8846.95,8893.45
02-Dec-22,8896,8903.3,8859.65,8889.95
